​:ID;company_name
100000804;morgan-stanley
100000805;morningstar-inc
100000806;mozio
100000807;muckrockcom
100000808;munetrix
100000809;municode
100000810;national-van-lines
100000811;nationwide-mutual-insurance-company
100000812;nautilytics
100000813;navico
100000814;nera-economic-consulting
100000815;nerdwallet
100000816;new-media-parents
100000817;next-step-living
100000818;nextbus
100000819;ngap-incorporated
100000820;nielsen
100000821;noesis
100000822;nonprofitmetrics
100000823;north-american-van-lines
100000824;noveda-technologies
100000825;nucivic
100000826;numedii
100000827;oliver-wyman
100000828;ondeck
100000829;onstar
100000830;ontodia-inc
100000831;onvia
100000832;open-data-nation
100000833;opencounter
100000834;opengov
100000835;openplans
100000836;opportunityspace-inc
100000837;optensity
100000838;optigov
100000839;optuminsight
100000840;orlin-research
100000841;osisoft
100000842;otc-markets
100000843;outline
100000844;oversight-systems
100000845;overture-technologies
100000846;owler
100000847;palantir-technologies
100000848;panjiva
100000849;parsons-brinckerhoff
100000850;patentlyo
100000851;patientslikeme
100000852;pave
100000853;paxata
100000854;payscale-inc
100000855;peerj
100000856;people-power
100000857;persint
100000858;personal-democracy-media
100000859;personal-inc
100000860;personalis
100000861;petersons
100000862;pev4mecom
100000863;pixia-corp
100000864;placeilivecom
100000865;planetecosystems
100000866;plotwatt
100000867;plusu
100000868;policymap
100000869;politify
100000870;poncho-app
100000871;popvox
100000872;porch
100000873;possibilityu
100000874;poweradvocate
100000875;practice-fusion
100000876;predilytics
100000877;pricewaterhousecoopers-pwc
100000878;programmableweb
100000879;progressive-insurance-group
100000880;propeller-health
100000881;propublica
100000882;publicengines
100000883;pya-analytics
100000884;qado-energy-inc
100000885;quandl
100000886;quertle
100000887;quid
100000888;r-r-donnelley
100000889;rand-corporation
100000890;rand-mcnally
100000891;rank-and-filed
100000892;ranku
100000893;rapid-cycle-solutions
100000894;realtorcom
100000895;recargo
100000896;recipal
100000897;redfin
100000898;redlaser
100000899;reed-elsevier
100000900;rei-systems
100000901;relationship-science
100000902;remi
100000903;retroficiency
100000904;revaluate
100000905;revelstone
100000906;rezolve-group
100000907;rivet-software
100000908;roadify-transit
100000909;robinson--yu
100000910;russell-investments
100000911;sage-bionetworks
100000912;sap
100000913;sas
100000914;scale-unlimited
100000915;science-exchange
100000916;seabourne
100000917;seeclickfix
100000918;sigfig
100000919;simple-energy
100000920;simpletuition
100000921;slashdb
100000922;smart-utility-systems
100000923;smartasset
100000924;smartprocure
100000925;smartronix
100000926;snapsense
100000927;social-explorer
100000928;social-health-insights
100000929;socialeffort-inc
100000930;socrata
100000931;solar-census
100000932;solarlist
100000933;sophic-systems-alliance
100000934;sp-capital-iq
100000935;spacecurve
100000936;speso-health
100000937;spikes-cavell-analytic-inc
100000938;splunk
100000939;spokeo
100000940;spotcrime
100000941;spotherocom
100000942;stamen-design
100000943;standard-and-poors
100000944;state-farm-insurance
100000945;sterling-infosystems
100000946;stevens-worldwide-van-lines
100000947;stillwater-supercomputing-inc
100000948;stocksmart
100000949;stormpulse
100000950;streamlink-software
100000951;streetcred-software-inc
100000952;streeteasy
100000953;suddath
100000954;symcat
100000955;synthicity
100000956;t-rowe-price
100000957;tableau-software
100000958;tagnifi
100000959;telenav
100000960;tendril
100000961;teradata
100000962;the-advisory-board-company
100000963;the-bridgespan-group
100000964;the-docgraph-journal
100000965;the-govtech-fund
100000966;the-schork-report
100000967;the-vanguard-group
100000968;think-computer-corporation
100000969;thinknum
100000970;thomson-reuters
100000971;topcoder
100000972;towerdata
100000973;transparagov
100000974;transunion
100000975;trialtrove
100000976;trialx
100000977;trintech
100000978;truecar
100000979;trulia
100000980;trustedid
100000981;tuvalabs
100000982;uber
100000983;unigo-llc
100000984;united-mayflower
100000985;urban-airship
100000986;urban-mapping-inc
100000987;us-green-data
100000988;us-news-schools
100000989;usaa-group
100000990;ussearch
100000991;verdafero
100000992;vimo
100000993;visualdod-llc
100000994;vital-axiom--niinja
100000995;vitalchek
100000996;vitals
100000997;vizzuality
100000998;votizen
100000999;walk-score
