​:START_ID;:END_ID
9047401;100001500
9047437;100001500
9047538;100001500
9047539;100001500
9047540;100001500
9047541;100001500
9047633;100001500
9047693;100001500
9047765;100001500
9047766;100001500
9047767;100001500
9047768;100001500
9047769;100001500
9047770;100001500
9047771;100001500
9047772;100001500
9047773;100001500
9047774;100001500
9047775;100001500
9047776;100001500
9047777;100001500
9047778;100001500
9047779;100001500
9047780;100001500
9047781;100001500
9047782;100001500
9047895;100001500
9047953;100001500
9048015;100001500
9048016;100001500
9048017;100001500
9048018;100001500
9048019;100001500
9048020;100001500
9048021;100001500
9048097;100001500
9048196;100001500
9048197;100001500
9048198;100001500
9048199;100001500
9048259;100001500
9048260;100001500
9048261;100001500
9047402;100001501
9047441;100001501
9047444;100001501
9047447;100001501
9047542;100001501
9047543;100001501
9047544;100001501
9047545;100001501
9047546;100001501
9047547;100001501
9047636;100001501
9047637;100001501
9047638;100001501
9047639;100001501
9047640;100001501
9047694;100001501
9047783;100001501
9047785;100001501
9047896;100001501
9047897;100001501
9047898;100001501
9047899;100001501
9047900;100001501
9047901;100001501
9047902;100001501
9047903;100001501
9047904;100001501
9047905;100001501
9047906;100001501
9047907;100001501
9047954;100001501
9048022;100001501
9048098;100001501
9048099;100001501
9048100;100001501
9048101;100001501
9048102;100001501
9048103;100001501
9048104;100001501
9048200;100001501
9048262;100001501
9048263;100001501
9047403;100001502
9047451;100001502
9047548;100001502
9047562;100001502
9047695;100001502
9047784;100001502
9047908;100001502
9047909;100001502
9047910;100001502
9047955;100001502
9047956;100001502
9047957;100001502
9048023;100001502
9048106;100001502
9048107;100001502
9048108;100001502
9048109;100001502
9048110;100001502
9048111;100001502
9048112;100001502
9048113;100001502
9048114;100001502
9048115;100001502
9048201;100001502
9048202;100001502
9048264;100001502
9047404;100001503
9047453;100001503
9047549;100001503
9047550;100001503
9047551;100001503
9047553;100001503
9047556;100001503
9047558;100001503
9047559;100001503
9047561;100001503
9047563;100001503
9047564;100001503
9047565;100001503
9047566;100001503
9047567;100001503
9047568;100001503
9047570;100001503
9047642;100001503
9047644;100001503
9047645;100001503
9047696;100001503
9047786;100001503
9047911;100001503
9047958;100001503
9047959;100001503
9047960;100001503
9047962;100001503
9047964;100001503
9048024;100001503
9048203;100001503
9048265;100001503
9047405;100001504
9047465;100001504
9047552;100001504
9047643;100001504
9047697;100001504
9047698;100001504
9047699;100001504
9047787;100001504
9047912;100001504
9047913;100001504
9047961;100001504
9048025;100001504
9048026;100001504
9048117;100001504
9048118;100001504
9048119;100001504
9048120;100001504
9048121;100001504
9048122;100001504
9048123;100001504
9048124;100001504
9048204;100001504
9048266;100001504
9047406;100001505
9047466;100001505
9047554;100001505
9047646;100001505
9047700;100001505
9047702;100001505
9047704;100001505
9047705;100001505
9047788;100001505
9047914;100001505
9047963;100001505
9048027;100001505
9048028;100001505
9048029;100001505
9048030;100001505
9048031;100001505
9048032;100001505
9048033;100001505
9048034;100001505
9048035;100001505
9048036;100001505
9048037;100001505
9048038;100001505
9048039;100001505
9048040;100001505
9048125;100001505
9048126;100001505
9048127;100001505
9048128;100001505
9048129;100001505
9048130;100001505
9048205;100001505
9048267;100001505
9048268;100001505
9047407;100001506
9047467;100001506
9047555;100001506
9047647;100001506
9047648;100001506
9047649;100001506
9047701;100001506
9047789;100001506
9047915;100001506
9047919;100001506
9047965;100001506
9047966;100001506
9047967;100001506
9047968;100001506
9047969;100001506
9047970;100001506
9048041;100001506
9048042;100001506
9048043;100001506
9048044;100001506
9048045;100001506
9048046;100001506
9048047;100001506
9048048;100001506
9048105;100001506
9048131;100001506
9048132;100001506
