:START_ID;:END_ID;year
361127;10884;1989
361127;13959;1993
361127;12660;1993
361127;11446;1994
740210;10884;1989
1979613;364034;1993
1979613;10884;1989
1979613;11256;1990
1528687;10884;1989
1525597;10884;1989
1526574;10884;1989
1525843;10884;1989
1284848;10884;1989
1527104;13668;1991
1527104;10884;1989
1527104;13445;1992
1527104;14148;1993
490439;10891;1995
490439;12684;1997
490439;363659;1979
490439;363632;1977
490439;363602;1994
490439;13750;1996
490439;363515;1983
710353;10891;1995
710353;11276;1997
710353;14287;1996
710353;12697;1993
710353;13247;1997
11900;10914;1998
11900;10979;1998
11900;817636;1996
11900;13996;1998
11900;10893;1996
11900;11217;1997
11900;14420;1997
1527234;11744;1995
1527234;10979;1998
1527234;14312;1992
1527234;610763;1998
1527234;14380;1992
1527234;10893;1996
1527234;14350;1995
1527234;14420;1997
1527234;610612;1994
1527234;12088;1993
1527234;11900;1993
11849;10979;1998
11849;12106;1998
11849;10893;1996
11849;12088;1993
610294;10979;1998
610294;10893;1996
610294;610405;1994
275977;10893;1996
275977;817575;1996
542083;12106;1998
542083;10979;1998
542083;10893;1996
1622509;10893;1996
253116;10893;1996
12735;10979;1998
12735;10893;1996
11010;13810;1995
11010;10901;1993
1285294;363662;1979
1285294;710928;1979
1285294;610585;1996
1285294;10909;1998
1285294;363428;1982
1285294;363301;1982
1285294;711603;1984
1285294;363592;1990
1285294;363216;1988
1285294;710619;1976
363216;610688;1997
363216;363778;1992
363216;610310;2000
363216;610953;1993
363216;363664;1992
363216;10909;1998
363216;13602;1996
363216;13369;1995
363216;363843;1990
363216;11078;1995
363216;14278;1990
363216;610295;1993
363216;13655;1989
363216;710233;1990
363216;14556;1993
363216;363238;1991
363216;13686;1993
363216;14327;1992
363216;14329;1989
363216;13821;1994
363296;363537;1981
363296;363550;1982
363296;364062;1988
363296;610850;1993
363296;363592;1990
363296;364108;1992
363296;363599;1986
363296;610440;1997
363296;610953;1993
363296;363662;1979
363296;10909;1998
363296;363208;1986
363296;363216;1988
363296;363733;1982
363296;363778;1992
363296;363787;1976
363296;710928;1979
363296;363803;1981
363296;363298;1981
363296;710450;1984
363296;12599;1994
363296;363331;1979
363296;363856;1984
363296;363350;1984
363296;13686;1993
363296;363899;1980
363296;363915;1982
363296;610715;1998
363296;13731;1996
363296;363428;1982
363296;363945;1996
363296;711603;1984
363296;11219;1989
363296;363995;1998
363296;363489;1991
363296;364004;1987
363296;711676;1993
363296;364030;1984
1626511;711208;1995
1626511;10914;1998
1569356;10914;1998
1569356;11133;1997
1569356;363462;1999
1623310;300809;1999
1623310;11537;1998
1623310;610709;2000
1623310;10914;1998
1623310;13996;1998
1623310;301495;1998
1623310;11707;1998
1623310;816595;1995
1623310;816608;1996
1623310;12533;1998
749640;10914;1998
749640;11696;1996
392605;10914;1998
480997;710151;1985
480997;816659;1997
480997;710677;1984
480997;364058;1983
480997;711737;1992
480997;710721;1998
480997;610405;1994
480997;363645;1991
480997;10917;1994
480997;13996;1998
480997;14527;1997
480997;13530;1993
480997;11001;1989
480997;363291;1990
480997;816441;1993
480997;363842;1980
480997;363847;1993
480997;363885;1976
480997;363906;1987
480997;610736;2000
480997;610745;1997
480997;363965;1984
480997;11217;1997
480997;363494;1999
480997;711676;1993
1807391;710721;1998
1807391;363906;1987
1807391;10917;1994
1807391;14446;1992
1807391;710677;1984
710192;610306;1998
710192;710151;1985
710192;816659;1997
710192;710677;1984
710192;364058;1983
710192;364062;1988
710192;363565;1989
710192;363576;1986
710192;363577;1988
710192;11839;1990
710192;710721;1998
710192;364105;1985
710192;11851;1993
710192;364112;1987
710192;13438;1994
710192;11405;1989
710192;13466;1997
710192;363682;1989
710192;10917;1994
710192;610470;1997
710192;610471;1996
710192;710849;1996
710192;363737;1985
710192;13530;1993
710192;610547;1996
710192;11518;1990
710192;300291;2000
710192;363291;1990
710192;363823;1985
710192;13617;1989
710192;13628;1994
710192;363847;1993
710192;13129;1997
710192;13199;1989
710192;610209;1994
710192;11686;1996
710192;363985;1986
710192;610783;1993
710192;363494;1999
710192;610794;2000
710192;11257;1991
710192;711676;1993
357865;710721;1998
357865;13530;1993
357865;10917;1994
1807385;710721;1998
1807385;10917;1994
1807385;13530;1993
363965;710151;1985
363965;610831;1994
363965;710677;1984
363965;817198;1995
363965;710721;1998
363965;364105;1985
363965;364108;1992
363965;610405;1994
363965;363645;1991
363965;14495;1997
363965;10917;1994
363965;610470;1997
363965;817837;1993
363965;12487;1994
363965;363738;1990
363965;13530;1993
363965;610547;1996
363965;11004;1998
363965;363291;1990
363965;13617;1989
363965;816441;1993
363965;363847;1993
363965;14156;1995
363965;817512;1994
363965;610669;1997
363965;610685;1994
363965;363906;1987
363965;13732;1998
363965;11691;1995
363965;711603;1984
363965;363985;1986
363965;816595;1995
363965;12247;1997
363965;11257;1991
363965;711676;1993
481842;710151;1985
481842;12704;1997
481842;10917;1994
481842;364079;1983
481842;363952;1987
481842;363965;1984
481842;363966;1982
481842;363860;1979
481842;363733;1982
481842;363616;1983
481842;363756;1993
481842;363378;1984
481842;363261;1978
741020;14344;1993
741020;364067;1987
741020;610340;1995
741020;363577;1988
741020;363579;1981
741020;11334;1991
741020;363590;1989
741020;363593;1984
741020;363640;1979
741020;10919;1997
741020;10948;1993
741020;363214;1992
741020;363250;1984
741020;363772;1990
741020;363773;1983
741020;710919;1981
741020;363788;1992
741020;710423;1981
741020;363875;1987
741020;363898;1983
741020;363399;1993
741020;12204;1994
741020;363951;1990
741020;363445;1985
741020;363958;1987
741020;14280;1996
741020;11222;1989
741020;363998;1984
363461;14336;1989
363461;364033;1992
363461;364183;1989
363461;10919;1997
363461;12200;1995
363461;610608;1993
363461;13751;1997
363461;363211;1993
363461;363214;1992
363461;13647;1998
363461;711378;1998
363461;610783;1993
363461;363875;1987
363461;13290;1991
363461;363772;1990
363875;14336;1989
363875;364033;1992
363875;364166;1994
363875;363788;1992
363875;363794;1993
363875;364054;1991
363875;363425;1995
363875;820259;2000
363875;610340;1995
363875;10919;1997
363875;12200;1995
363875;12204;1994
363875;610608;1993
363875;13751;1997
363875;610369;1996
363875;363211;1993
363875;610765;1997
363875;363214;1992
363875;13647;1998
363875;711378;1998
363875;610783;1993
363875;13290;1991
363875;363771;1991
363875;363391;1993
742198;12450;1997
742198;10919;1997
742198;14411;1994
742198;610765;1997
742198;711378;1998
742198;11636;1994
742198;610550;1995
11529;610184;1996
11529;10919;1997
11529;11089;1997
710919;364054;1991
710919;610340;1995
710919;363577;1988
710919;610883;1993
710919;11334;1991
710919;363590;1989
710919;363597;1989
710919;11855;1995
710919;364115;1990
710919;14430;1990
710919;11899;1995
710919;363657;1989
710919;711308;1983
710919;363665;1983
710919;10919;1997
710919;711335;1991
710919;363694;1986
710919;10948;1993
710919;711378;1998
710919;13027;1991
710919;711407;1984
710919;363250;1984
710919;13559;1990
710919;13563;1989
710919;363773;1983
710919;14087;1989
710919;11538;1991
710919;12579;1992
710919;363875;1987
710919;363898;1983
