volume_id:string;journal_id:END_ID
500000000;9046524
500000000;9046524
500000000;9046524
500000000;9046524
500000000;9046524
500000001;9046524
500000001;9046524
500000002;9046524
500000003;9046524
500000003;9046524
500000004;9046524
500000004;9046524
500000004;9046524
500000004;9046524
500000005;9046524
500000005;9046524
500000005;9046524
500000006;9046524
500000007;9046524
500000007;9046524
500000008;9046524
500000008;9046524
500000008;9046524
500000009;9046524
500000010;9046524
500000010;9046524
500000011;9046524
500000011;9046524
500000011;9046524
500000012;9046524
500000012;9046524
500000012;9046524
500000013;9046524
500000013;9046524
500000014;9046524
500000014;9046524
500000014;9046524
500000015;9046524
500000015;9046524
500000016;9046524
500000016;9046524
500000016;9046524
500000017;9046524
500000017;9046524
500000017;9046524
500000017;9046524
500000017;9046524
500000017;9046524
500000018;9046524
500000019;9046524
500000020;9046524
500000021;9046524
500000022;9046524
500000022;9046524
500000023;9046524
500000023;9046524
500000023;9046524
500000023;9046524
500000024;9046524
500000024;9046524
500000025;9046524
500000025;9046524
500000026;9046524
500000027;9046524
500000027;9046524
500000028;9046524
500000029;9046524
500000029;9046524
500000030;9046524
500000030;9046524
500000031;9046524
500000032;9046524
500000033;9046524
500000033;9046524
500000034;9046524
500000035;9046524
500000036;9046526
500000037;9046526
500000038;9046526
500000039;9046526
500000040;9046526
500000041;9046528
500000042;9046528
500000043;9046528
500000043;9046528
500000044;9046528
500000045;9046528
500000046;9046528
500000047;9046528
500000048;9046528
500000049;9046528
500000050;9046528
500000051;9046528
500000052;9046528
500000053;9046529
500000054;9046530
500000055;9046530
500000056;9046530
500000057;9046530
500000058;9046530
500000059;9046530
500000060;9046530
500000061;9046530
500000062;9046530
500000063;9046530
500000063;9046530
500000063;9046530
500000063;9046530
500000064;9046530
500000064;9046530
500000065;9046530
500000066;9046530
500000066;9046530
500000067;9046530
500000067;9046530
500000068;9046530
500000068;9046530
500000069;9046530
500000070;9046530
500000070;9046530
500000070;9046530
500000070;9046530
500000070;9046530
500000071;9046530
500000072;9046530
500000073;9046530
500000074;9046530
500000075;9046530
500000076;9046530
500000077;9046530
500000078;9046530
500000079;9046530
500000080;9046530
500000081;9046530
500000081;9046530
500000082;9046530
500000083;9046530
500000083;9046530
500000084;9046530
500000085;9046530
500000085;9046530
500000086;9046530
500000087;9046530
500000088;9046530
500000089;9046530
500000090;9046530
500000090;9046530
500000090;9046530
500000090;9046530
500000091;9046531
500000092;9046531
500000093;9046531
500000094;9046531
500000095;9046531
500000096;9046531
500000096;9046531
500000097;9046533
500000098;9046534
500000099;9046535
500000099;9046535
500000099;9046535
500000100;9046535
500000100;9046535
500000101;9046535
500000102;9046535
500000103;9046535
500000104;9046535
500000105;9046535
500000106;9046535
500000107;9046535
500000108;9046535
500000109;9046535
500000110;9046535
500000111;9046535
500000112;9046535
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000113;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000114;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
500000115;9046536
