:START_ID;:END_ID;mainAuthor
6753663;8;TRUE
6753765;65;TRUE
6753766;65;FALSE
6753783;75;TRUE
6753784;75;FALSE
6753821;95;TRUE
6753822;95;FALSE
6753871;126;TRUE
6753872;126;FALSE
6753903;144;TRUE
6753904;144;FALSE
6753905;144;FALSE
6753906;144;FALSE
6753917;151;TRUE
6753922;154;TRUE
6753960;176;TRUE
6753962;176;FALSE
6753964;176;FALSE
6753963;176;FALSE
6753961;176;FALSE
6753784;200;TRUE
6753998;200;FALSE
6754091;251;TRUE
6754090;251;FALSE
6754092;252;TRUE
6754125;276;TRUE
6754124;276;FALSE
6754167;295;TRUE
6753903;307;TRUE
6754183;307;FALSE
6754192;313;TRUE
6754205;321;TRUE
6754218;329;TRUE
6754217;329;FALSE
6754216;329;FALSE
6754223;332;TRUE
6754222;332;FALSE
6753904;355;TRUE
6753903;355;FALSE
6754260;358;TRUE
6754273;365;TRUE
6754328;403;TRUE
6754195;403;FALSE
6754363;424;TRUE
6754364;424;FALSE
6754382;432;TRUE
6754381;432;FALSE
6754401;448;TRUE
6754414;458;TRUE
6754415;458;FALSE
6754478;512;TRUE
6754334;512;FALSE
6754486;518;TRUE
6754479;560;TRUE
6754553;563;TRUE
6754554;563;FALSE
6754558;566;TRUE
6754559;566;FALSE
6754588;584;TRUE
6754589;584;FALSE
6753903;616;TRUE
6754183;616;FALSE
6754654;634;TRUE
6753725;684;TRUE
6754728;693;TRUE
6754729;693;FALSE
6754764;718;TRUE
6754763;718;FALSE
6754791;745;TRUE
6754792;745;FALSE
6754629;758;TRUE
6754811;758;FALSE
6754810;758;FALSE
6754809;758;FALSE
6754817;762;TRUE
6754818;762;FALSE
6754837;787;TRUE
6753728;805;TRUE
6754027;805;FALSE
6754866;814;TRUE
6754867;814;FALSE
6753754;834;TRUE
6754713;834;FALSE
6754240;841;TRUE
6753988;844;TRUE
6754909;849;TRUE
6754910;849;FALSE
6753977;906;TRUE
6754980;906;FALSE
6754029;918;TRUE
6754807;918;FALSE
6755076;989;TRUE
6754868;992;TRUE
6755101;1014;TRUE
6755141;1050;TRUE
6753762;1050;FALSE
6754697;1050;FALSE
6754192;1053;TRUE
6755179;1083;TRUE
6755185;1089;TRUE
6755008;1096;TRUE
6753676;1096;FALSE
6755084;1097;TRUE
6754669;1097;FALSE
6754617;1100;TRUE
6755190;1100;FALSE
6754616;1100;FALSE
6754195;1141;TRUE
6755239;1150;TRUE
6755238;1150;FALSE
6755243;1155;TRUE
6754195;1183;TRUE
6755274;1183;FALSE
6754589;1256;TRUE
6755354;1256;FALSE
6755353;1256;FALSE
6753997;1266;TRUE
6755369;1266;FALSE
6755370;1266;FALSE
6755367;1266;FALSE
6755371;1266;FALSE
6755368;1266;FALSE
6755372;1266;FALSE
6755373;1266;FALSE
6753999;1276;TRUE
6755384;1276;FALSE
6755385;1276;FALSE
6755025;1284;TRUE
6754403;1297;TRUE
6755465;1348;TRUE
6755473;1359;TRUE
6754403;1359;FALSE
6754631;1365;TRUE
6754125;1400;TRUE
6755518;1400;FALSE
6755025;1409;TRUE
6753922;1409;FALSE
6754597;1472;TRUE
6754598;1472;FALSE
6754601;1488;TRUE
6755600;1488;FALSE
6756309;1707;TRUE
6756308;1707;FALSE
6756307;1707;FALSE
6756306;1707;FALSE
6756310;1707;FALSE
6756535;1778;TRUE
6756834;1881;TRUE
6756835;1881;FALSE
6757120;1992;TRUE
6757121;1992;FALSE
6756278;1992;FALSE
6757344;2084;TRUE
6757343;2084;FALSE
