:ID;author:string
6765297;Stefan Plantikow
6765489;Célia Ghedini Ralha
6765490;Aldo H. D. Mendes
6765491;Luiz A. Laranjeira
6765492;Aletéia P. F. Araújo
6765493;Alba C. M. A. Melo
6763926;Saeed Sharifian
6765577;Eiman Iranpour
6763172;Luca Mascetti
6766333;Nuno Loureiro-Ferreira
6766334;Vitaliy Ostropytskyy
6766336;Olivier Riche
6766331;Martin T. Swain
6766337;Werner Dubitzky
6766338;Rui M. M. Brito
6766332;Cândida G. Silva
6766335;João Brito
6761881;Hai Jin 0001
6762000;Xiaofei Liao
6766403;Xiaojie Yuan
6766583;Sun Ying
6766584;Zhang Xue-Ying
6766624;Laurent Lefèvre
6766625;Jean-Patrick Gelas
6766740;Xiaoqun Yuan
6766741;Yi Ding
6766742;Jinhong Liu
6766743;Hao Yin
6766744;Qing Fang
6759136;Qiong Liu
6763299;Geyong Min
6767156;Yu Wu
6767035;Hancong Duan
6763906;Chao Chen
6767641;Diego Muñoz
6767642;Raymundo Cornejo
6767643;Francisco J. Gutierrez
6767644;Monica Tentori
6762320;Jesús Favela
6762318;Sergio F. Ochoa
6764971;Muhammad Khurram Khan
6767693;Mehdi Sookhak
6763582;F. Richard Yu
6761787;Rajkumar Buyya
6762202;Yang Xiang 0001
6767704;Michael Maurer
6764146;Ivona Brandic
6764471;Jörn Altmann
6767705;Vincent C. Emeakaroha
6767752;Nicole Wolter
6767751;Allan Snavely
6767750;Laura Carrington
6767798;Saeed Akbar
6767796;Muhammad Waqas
6767800;Naveed Ahmad
6767797;Saif Ur Rehman Malik
6767799;Adeel Anjum
6767985;Stein Desmet
6766449;Filip De Turck
6766448;Bruno Volckaert
6768020;Sonia Ben Mokhtar
6768021;Licia Capra
6768019;Alejandra González Beltrán
6768018;Aitor Urbieta
6763762;M. Anwar Hossain 0001
6768149;Phan Cong Vinh
6768269;Ruslan Shevchenko
6765514;Anatoly E. Doroshenko
6768340;Alexandru Jugravu
6762365;Thomas Fahringer
6768426;Jun Takamura
6768479;Olaf Schneider
6768480;Gian Luca Volpato
6768478;Lars Schley
6768472;Manfred Alef
6768476;Wolfgang Gürich
6768475;Ariel Garcia
6768474;Stefan Freitag
6768473;Thomas Fieseler
6764244;Christian Grimm
6768477;Hamza Mehammed
6768752;Haifeng Shen
6761470;Chengzheng Sun
6769341;Xiaohao Li
6755287;Joseph Y.-T. Leung
6769340;Zhao-Hong Jia
6769342;Andreas C. Döring
6762438;Sahil Garg
6762437;Amritpal Singh
6762440;Neeraj Kumar 0001
6762439;Shalini Batra
6769994;Sven Plaga
6769995;Norbert Wiedermann
6769996;Simon Duque Antón
6769997;Stefan Tatschner
6769998;Hans D. Schotten
6769999;Thomas Newe
6770027;Euiseong Seo
6770026;Jungwook Cho
6770025;Nakku Kim
6765189;Laura Ricci
6763001;Paolo Mori
6768898;Luís Orlando Emerich dos Santos
6768897;Paulo Cesar Philippi
6770051;Rodrigo Surmas
6765327;Yuki Hagiwara
6768446;Arkadiusz Gertych
6765331;Shu Lih Oh
6770421;Hamido Fujita
6765019;U. Rajendra Acharya
6770422;Muhammad Adam
6765016;U. Raghavendra
6765519;Jen-Hong Tan
6770429;Dmitry Mukhutdinov
6770430;Andrey Filchenkov
6770431;Anatoly Shalyto
6759901;Valeriy Vyatkin
6770682;Long Chen
6765723;Xiaoping Li 0001
6765724;Rubén Ruiz
6771180;Matthias Geiger
6771183;Guido Wirtz
6771182;Jörg Lenhard
6771181;Simon Harrer
6764008;Rocco Rongo
6764009;William Spataro
6764007;Salvatore Di Gregorio
6764058;Giandomenico Spezzano
6771353;Stuart E. Middleton
6770161;Mike Surridge
6759664;Xiaoyu Yang
6771352;Bassem I. Nasser
6765570;Sandra Gesing
6762038;Ian J. Taylor
6764250;Malcolm P. Atkinson
6768805;Johan Montagnat
6771573;Ying Dong
6771574;Mingshu Li
6763561;David Gil
6771696;Il-Yeol Song
6771852;Deok-Soo Kim
6771853;Youngsong Cho
6756336;Hyun Kim
6771999;Jorge Ejarque
6761961;Rosa M. Badia
6771998;Fredy Juarez
6756184;Wei Li
6754509;Jean-Pierre Banâtre
6772306;Anne Coutant
6772307;Daniel Le Métayer
6772666;Dong-Her Shih
6772664;Po-Ling Sun
6772665;Cheng-Yuan Ku
6772774;Nadia Bellardi
6772773;Adriane Borger
6772986;Daniel Belanche
6772987;Carlos Flavián
6772988;Alfredo Pérez-Rueda
6773606;Kokil Jaidka
6773607;Jaeho Cho
6773605;Saifuddin Ahmed
6773747;Yi-Ling Chen
6773056;Tsai-Yuan Chung
6774261;Duye Chen
6774262;Ta-Ping Lu
6760618;Pei-Luen Patrick Rau
6774260;Jia Zhou 0001
6774334;Yongjun Sung
6774333;Tae Rang Choi
6774561;Okocha Olabisi Foluke
6774846;Alison Gazzard
6775382;Jeroen Th. Temme
6775221;Giampiero E. G. Beroggi
6775534;Christina Raasch
6775736;Carlos A. Benavides-Velasco
6775735;Cristina Quintana-Garcia
6775794;David Lei
6775474;José Albors-Garrigos
6775476;Jose Hervas-Oliver
6775844;Patricia Beatriz Marquez
6775921;Victor Tang
6775922;Man-Hyung Lee
6775986;Kärt Rõigas
6775987;Pierre Mohnen
6775988;Urmas Varblane
6776030;Hajime Eto
6776133;Ramkrishnan V. Tenkasi
6776193;Lois Peters
6776192;Hung-bin Ding
6775403;Eckhard Lichtenthaler
6776865;Joan Henderson
6776866;Steven Parkinson
6775409;Rodney McAdam
6776872;Sherif Kamel
6776931;Michael D. Ames
6776930;Hong Kim
6776976;Yun-Jae Lee
6777224;Jill R. Kickul
6777223;Lisa K. Gundry
6776443;Ke Rong
6775473;Lan Xue
6777265;Laijun Luo
6775803;Yantai Chen
6777297;Frank J. Bongers
6777298;Jac L. A. Geurts
6777299;Ruud E. H. M. Smits
6777312;Viva Wingate
6777311;Fernando Gomez
6777336;Li Gong
6777339;Chih-Cheng Hsu
6777341;Ricky K. Taira
6777340;Wesley W. Chu
6777362;Jang-Jong Fan
6777363;Keh-Yih Su
6777364;Yong Shi
6757770;Aidong Zhang
6777365;Yuqing Song 0002
6777368;Nematollaah Shiri
6777367;Laks V. S. Lakshmanan
6777382;Margaret H. Dunham
6777381;Fa-Chung Fred Chen
6754148;Elisa Bertino
6777388;Elena Ferrari
6777389;Marco Stolf
6777390;Wendy Chang
6777391;Gholamhosein Sheikholeslami
6777392;Jia Wang 0002
6753823;Akhil Kumar 0001
6777403;Calton Pu
6777307;Philip S. Yu
6777402;Kun-Lung Wu
6777418;Mirsad Hadzikadic
6777419;Benjamin F. Bohren
6777420;Nikos A. Lorentzos
6777421;Yannis G. Mitsopoulos
6777436;Bing Leng
6777435;Wei-Min Shen
6755232;Theo P. van der Weide
6777444;Henderik Alex Proper
6777465;Pierangela Samarati
6770464;Claudio Bettini
6777470;Shashi Shekhar
6777469;Jaideep Srivastava
6777468;Ee-Peng Lim
6777473;Divyakant Agrawal
6777474;Soumitra Sengupta
6777483;Francesco Bergadano
6777493;Eugene J. Shekita
6777492;Tobin J. Lehman
6777494;Luis-Felipe Cabrera
6777499;Daniel A. Keim
6753947;Hans-Peter Kriegel
6777507;B. R. Badrinath
6777505;Tomasz Imielinski
6777506;S. Viswanathan
6777531;Martin Strauss 0001
6777530;S. Muthukrishnan
6777529;Anna C. Gilbert
6777335;Yannis Kotidis
6777551;Alfonso F. Cardenas
6777561;Per-Åke Larson
6777560;LuoQuan Zheng
6777573;Kristian Torp
6777575;Christian S. Jensen
6777574;Leo Mark
6777602;Paul E. van der Vet
6764297;Nicolaas J. I. Mars
6777605;Henri Prade
6777604;Jérôme Lang
6777603;Didier Dubois
6777609;Lawrence McNamee
6777608;Meng Chang Chen
6777619;Chinya V. Ravishankar
6777618;Ming-Ling Lo
6777655;Hauke Schmidt
6777654;Richard M. Rovner
6777653;Rudolf Kober
6777652;Roland Klinnert
6777651;Peter Bock
6777664;Thomas McGee
6777665;Herman Elenbaas
6777666;Jacquelyn Martino
6777663;Nevenka Dimitrova
6777680;Paul M. Bober
6777681;Michael J. Carey 0001
6777366;Jiawei Han 0001
6759647;Yue Huang
6777689;Nick Cercone
6777690;Yongjian Fu
6777708;Paolo Ciaccia
6777724;Lalit M. Patnaik
6777723;M. Srinivas
6777741;Ahmed K. Elmagarmid
6777742;Jin Jing
6771088;Won Kim 0001
6777743;Omran A. Bukhres
6777373;Sushil Jajodia
6777748;Xiaoyang Sean Wang
6754969;Daniel J. Rosenkrantz
6755439;Lin Yu
6777779;Nick Roussopoulos
6777797;Bojan Groselj
6763842;Qutaibah M. Malluhi
6777807;Thomas J. Weigert
6771663;Bing Li
6777563;Jeffrey J. P. Tsai
6777826;Lisa Cingiser DiPippo
6777827;Victor Fay Wolfe
6777843;Francesco M. Malvestuto
6777844;Marina Moscarini
6777845;Stephen T. C. Wong
6777846;John L. Wilson
6777851;Daniel Alexander Ford
6777866;Du Zhang
6777867;Doan Nguyen
6777875;George W. Hart
6777873;Vassilis J. Tsotras
6777874;B. Gopinath
6777877;Yu-Wei Chen
6777878;Jing Huang
6777876;Le Gruenwald
6777915;Yeh-Hao Chin
6777914;Yin-Fu Huang
6777931;Shih-Hao Li
6777932;Peter B. Danzig
6777935;P. Venkat Rangan
6777764;V. S. Subrahmanian
6777927;K. Selçuk Candan
6777952;Srikanta Tirthapura
6777951;Pan Xu
6777950;Arko Provo Mukherjee
6777953;Douglas B. Lenat
6777999;Sergio Flesca
6778001;Andrea Tagarelli
6778000;Elio Masciari
6778080;Jean-Eric Pin
6778079;Irène Guessarian
6778117;Roy E. Marsten
6778116;Sudha Ram
6763751;Euripides G. M. Petrakis
6777484;Christos Faloutsos
6778131;Sreekumar T. Shenoy
6778132;Z. Meral Özsoyoglu
6778136;Bharat K. Bhargava
6778137;John Riedl
6778160;Luigi V. Mancini
6772504;Indrajit Ray
6778187;Jong P. Yoon
6778188;Larry Kerschberg
6778193;Aditya N. Saharia
6778192;George Diehr
6754917;Mustaque Ahamad
6778200;Shun Yan Cheung
6754918;Mostafa H. Ammar
6778205;Chang-Pin Lin
6778204;George Harhalakis
6778206;Pedro R. Muro-Medrano
6765838;Hector Garcia-Molina
6778218;Andreas Paepcke
6778217;Kevin Chen-Chuan Chang
6778220;Daniel E. Cooke
6778221;Jeff A. Bilmes
6759845;Oliver Günther
6778252;Greg Turner
6778250;Sivakumar Ravada
6778251;Douglas Chubb
6777662;Vipin Kumar
6778257;Teresa F. Lunt
6778263;Farokh B. Bastani
6778262;Ing-Ray Chen
6778264;Ta-Wei Tsao
6778287;Alexander J. Pasik
6778305;Bryant L. Poole
6778310;Eric N. Hanson
6778379;Thomas Seidl 0001
6778378;Mihael Ankerst
6778129;Huan Liu
6778381;Wilson X. Wen
6778380;Chris D. Rowles
6778386;Yun-Wu Huang
6778385;Ning Jing
