:START_ID;:END_ID;pages:string;volume:string;year:int;Column1
10672;9046535;350-370;32;2005;10672
10830;9046535;341-355;33;2006;10830
10856;9046535;262-299;65;2014;10856
10878;9046535;269-287;19;2000;10878
10884;9046536;398-405;1;1989;10884
10891;9046536;839-841;7;1995;10891
10893;9046536;522-532;8;1996;10893
10901;9046536;900;5;1993;10901
10902;9046536;1389-1403;17;2005;10902
10904;9046536;554-570;13;2001;10904
10909;9046536;493-499;10;1998;10909
10913;9046536;102-125;12;2000;10913
10914;9046536;926-946;10;1998;10914
10917;9046536;341-347;6;1994;10917
10919;9046536;262-274;9;1997;10919
10925;9046536;168-173;9;1997;10925
10926;9046536;480-499;9;1997;10926
10932;9046536;898-910;8;1996;10932
10935;9046536;984-996;7;1995;10935
10943;9046536;67-80;8;1996;10943
10946;9046536;707-723;8;1996;10946
10948;9046536;126-137;5;1993;10948
10953;9046536;969-972;5;1993;10953
10957;9046536;555-566;4;1992;10957
10960;9046536;923-938;8;1996;10960
10963;9046536;353-372;9;1997;10963
10971;9046536;541-554;15;2003;10971
10979;9046536;872-888;10;1998;10979
10982;9046536;322-332;8;1996;10982
10989;9046536;599-611;10;1998;10989
10998;9046536;513-526;10;1998;10998
10999;9046536;64-71;6;1994;10999
11001;9046536;519-529;1;1989;11001
11004;9046536;136-152;10;1998;11004
11010;9046536;339-351;5;1993;11010
11016;9046536;109-122;4;1992;11016
11019;9046536;988-995;10;1998;11019
11025;9046536;68-84;9;1997;11025
11029;9046536;373-390;8;1996;11029
11038;9046536;712-718;5;1993;11038
11045;9046536;120-133;8;1996;11045
11052;9046536;816-824;8;1996;11052
11055;9046536;277-296;10;1998;11055
11060;9046536;282-292;5;1993;11060
11066;9046536;352-362;5;1993;11066
11069;9046536;461-473;3;1991;11069
11078;9046536;915-927;7;1995;11078
11082;9046536;91-107;10;1998;11082
11089;9046536;135-147;9;1997;11089
11096;9046536;425-430;2;1990;11096
11098;9046536;895-900;5;1993;11098
11100;9046536;350-351;9;1997;11100
11105;9046536;983-989;6;1994;11105
11109;9046536;591-608;7;1995;11109
11110;9046536;859-861;10;1998;11110
11125;9046536;431-435;2;1990;11125
11133;9046536;863-876;9;1997;11133
11136;9046536;433-457;10;1998;11136
11143;9046536;543-555;29;2017;11143
11144;9046536;410;1;1989;11144
11163;9046536;1826-1841;23;2011;11163
11198;9046536;137-149;7;1995;11198
11212;9046536;389-395;3;1991;11212
11217;9046536;435-447;9;1997;11217
11219;9046536;344-361;1;1989;11219
11222;9046536;433-449;1;1989;11222
11230;9046536;120-135;10;1998;11230
11240;9046536;973-979;5;1993;11240
11243;9046536;497-499;6;1994;11243
11247;9046536;582-592;4;1992;11247
11249;9046536;892-908;6;1994;11249
11254;9046536;515-521;8;1996;11254
11256;9046536;320-326;2;1990;11256
11257;9046536;342-356;3;1991;11257
11272;9046536;632-655;10;1998;11272
11276;9046536;292-301;9;1997;11276
11278;9046536;4-13;7;1995;11278
11286;9046536;336-343;4;1992;11286
11294;9046536;883-891;6;1994;11294
11299;9046536;157-172;8;1996;11299
11324;9046536;996-1004;10;1998;11324
11325;9046536;740-750;7;1995;11325
11327;9046536;409-432;10;1998;11327
11329;9046536;824-838;10;1998;11329
11334;9046536;256-261;3;1991;11334
11339;9046536;4-24;2;1990;11339
11341;9046536;370-383;19;2007;11341
11343;9046536;340-346;7;1995;11343
11345;9046536;33-41;3;1991;11345
11346;9046536;533-551;7;1995;11346
11350;9046536;566-582;7;1995;11350
11351;9046536;261-276;13;2001;11351
11361;9046536;65-75;5;1993;11361
11369;9046536;583-595;8;1996;11369
11376;9046536;260-272;8;1996;11376
11378;9046536;508-511;9;1997;11378
11381;9046536;310-317;1;1989;11381
11385;9046536;527-550;10;1998;11385
11388;9046536;276-285;20;2008;11388
11391;9046536;118-122;3;1991;11391
11397;9046536;510-522;5;1993;11397
11401;9046536;351-361;7;1995;11401
11403;9046536;621-635;27;2015;11403
11405;9046536;248-257;1;1989;11405
11406;9046536;668-672;9;1997;11406
11411;9046536;669-680;6;1994;11411
11414;9046536;406-422;7;1995;11414
11418;9046536;872-881;5;1993;11418
11421;9046536;391-400;2;1990;11421
11423;9046536;55-64;3;1991;11423
11424;9046536;673-685;10;1998;11424
11445;9046536;646-652;9;1997;11445
11446;9046536;909-919;6;1994;11446
11459;9046536;451-461;5;1993;11459
11470;9046536;209-220;9;1997;11470
11472;9046536;894-910;9;1997;11472
11474;9046536;23-33;4;1992;11474
11476;9046536;193-204;6;1994;11476
11483;9046536;773-785;8;1996;11483
11486;9046536;549-558;6;1994;11486
11499;9046536;763-783;9;1997;11499
11511;9046536;950-964;5;1993;11511
11517;9046536;83-88;4;1992;11517
11518;9046536;143-160;2;1990;11518
11519;9046536;454-470;7;1995;11519
11521;9046536;231-246;2;1990;11521
11529;9046536;997-1007;7;1995;11529
11530;9046536;500-508;9;1997;11530
11532;9046536;992-994;5;1993;11532
11533;9046536;799-812;5;1993;11533
11537;9046536;947-966;10;1998;11537
11538;9046536;11-17;3;1991;11538
11541;9046536;835-842;6;1994;11541
11544;9046536;455-475;8;1996;11544
11553;9046536;575-586;9;1997;11553
11560;9046536;193-208;9;1997;11560
11568;9046536;396-411;6;1994;11568
11574;9046536;775-798;5;1993;11574
11580;9046536;421-434;3;1991;11580
11591;9046536;688-696;9;1997;11591
11600;9046536;888-894;5;1993;11600
11602;9046536;297-309;10;1998;11602
11603;9046536;1005-1011;9;1997;11603
11608;9046536;671-682;7;1995;11608
11618;9046536;990-992;5;1993;11618
11620;9046536;53-67;7;1995;11620
11626;9046536;462-478;5;1993;11626
11635;9046536;177-189;7;1995;11635
11636;9046536;764-786;6;1994;11636
11640;9046536;424-430;4;1992;11640
11643;9046536;76-90;10;1998;11643
11645;9046536;146-166;1;1989;11645
11659;9046536;721-739;5;1993;11659
11663;9046536;353-370;10;1998;11663
11666;9046536;353-372;8;1996;11666
11671;9046536;813-825;9;1997;11671
